Generation,Average Fitness,Best Fitness So Far,Best with secondary data
0,-1.3822209340449243,-0.4531903608524884,-0.45170929582952285
1,-1.0318560554492702,-0.4531903608524884,-0.45170929582952285
2,-0.8884963444411135,-0.44379657008721585,-0.4771662052893034
3,-0.8015456484357546,-0.44379657008721585,-0.4771662052893034
4,-0.7046484175532537,-0.44379657008721585,-0.4771662052893034
5,-0.6805700263767177,-0.44379657008721585,-0.4771662052893034
6,-0.6838942555723271,-0.4371229659238105,-0.4555416634861965
7,-0.5784363994431458,-0.4371229659238105,-0.4555416634861965
8,-0.5822277684385897,-0.4371229659238105,-0.4555416634861965
9,-0.5681136606597252,-0.4371229659238105,-0.4555416634861965
10,-0.5373130306815892,-0.4371229659238105,-0.4555416634861965
11,-0.5065664222264862,-0.4366932223356356,-0.457544509834851
12,-0.5244528287556993,-0.4366932223356356,-0.457544509834851
13,-0.49987512572275977,-0.4210477225234796,-0.44180684913093937
14,-0.49933012149631817,-0.41593000640298655,-0.4408554066327633
15,-0.49486387160977197,-0.41593000640298655,-0.4408554066327633
16,-0.48704935247234316,-0.41593000640298655,-0.4408554066327633
17,-0.4745639617279268,-0.4153062516736202,-0.44446119851826643
18,-0.4653583098823015,-0.4078136861172498,-0.43830122689861384
19,-0.47032437217892104,-0.4078136861172498,-0.43830122689861384
20,-0.46343796711057084,-0.4078136861172498,-0.43830122689861384
21,-0.4630838000675481,-0.4078136861172498,-0.43830122689861384
22,-0.45501163939122585,-0.4078136861172498,-0.43830122689861384
23,-0.4469195720301938,-0.4052920532005734,-0.437643243901665
24,-0.44264974116193906,-0.40133018660683745,-0.4336250143030501
25,-0.4433136615455777,-0.399926978763037,-0.423895009840552
26,-0.44209156644683184,-0.39638663052390805,-0.42019477242286296
27,-0.43337580879953647,-0.39570900149601257,-0.43029897795793737
28,-0.4343012627848752,-0.38062850901100337,-0.42904525799672105
29,-0.424683205341277,-0.38062850901100337,-0.42904525799672105
30,-0.42479123248567696,-0.38062850901100337,-0.42904525799672105
31,-0.4171242069708163,-0.38062850901100337,-0.42904525799672105
32,-0.41056413984366236,-0.38062850901100337,-0.42904525799672105
33,-0.40874142535315533,-0.37903080703042813,-0.4122171525145701
34,-0.40406065723396106,-0.3752039741357799,-0.4172217112345575
35,-0.40087132305521356,-0.3752039741357799,-0.4172217112345575
36,-0.410637680258315,-0.37416098230658235,-0.40993090313431363
37,-0.39914820483048935,-0.37416098230658235,-0.40993090313431363
38,-0.40259680213305865,-0.37286637757144836,-0.41392525828640264
39,-0.40549385942393734,-0.3687276657748934,-0.4023518646460369
40,-0.39578551330969736,-0.3627527237536277,-0.4043018551110927
41,-0.39523950636595695,-0.3627527237536277,-0.4043018551110927
42,-0.39801648148827423,-0.3627527237536277,-0.4043018551110927
43,-0.3931984019148455,-0.36019626831022417,-0.40780393618918837
44,-0.395208881332251,-0.36019626831022417,-0.40780393618918837
45,-0.39569213351397514,-0.36019626831022417,-0.40780393618918837
46,-0.39431027556542547,-0.36019626831022417,-0.40780393618918837
47,-0.39581120702178474,-0.36019626831022417,-0.40780393618918837
48,-0.394354507183561,-0.3590008442333443,-0.39896178090318407
49,-0.3845903609570702,-0.35560737900944484,-0.41643418627198275
50,-0.3910786772099899,-0.35560737900944484,-0.41643418627198275
51,-0.39895622377321294,-0.35560737900944484,-0.41643418627198275
52,-0.3905106058208915,-0.35560737900944484,-0.41643418627198275
53,-0.3955605609633803,-0.35560737900944484,-0.41643418627198275
54,-0.3909120612090929,-0.34851999806682915,-0.38550259754505856
55,-0.3986375191838978,-0.34851999806682915,-0.38550259754505856
56,-0.3973881544854157,-0.34851999806682915,-0.38550259754505856
57,-0.3949014728741982,-0.34851999806682915,-0.38550259754505856
58,-0.38647738484246574,-0.34778181188831603,-0.385565996119025
59,-0.3906734425191145,-0.34778181188831603,-0.385565996119025
60,-0.3895668794398336,-0.34778181188831603,-0.385565996119025
61,-0.3931400432623699,-0.34396194760808885,-0.378964868417056
62,-0.383090344381657,-0.34396194760808885,-0.378964868417056
63,-0.38138814853757425,-0.34396194760808885,-0.378964868417056
64,-0.38086144956961476,-0.34396194760808885,-0.378964868417056
65,-0.3847925785958286,-0.34396194760808885,-0.378964868417056
66,-0.38242370579124596,-0.34396194760808885,-0.378964868417056
67,-0.3917267229461099,-0.34396194760808885,-0.378964868417056
68,-0.38379331790302035,-0.34396194760808885,-0.378964868417056
69,-0.3757962407203134,-0.34396194760808885,-0.378964868417056
70,-0.3793970508317861,-0.34396194760808885,-0.378964868417056
71,-0.3781730001336802,-0.34396194760808885,-0.378964868417056
72,-0.38139452013315284,-0.34396194760808885,-0.378964868417056
73,-0.38189398357483884,-0.34396194760808885,-0.378964868417056
74,-0.3874976757257697,-0.34396194760808885,-0.378964868417056
75,-0.38270224008449316,-0.34396194760808885,-0.378964868417056
76,-0.3802499589251858,-0.3399057609376227,-0.37616527501770064
77,-0.3773286156072181,-0.3399057609376227,-0.37616527501770064
78,-0.3787306561398099,-0.3399057609376227,-0.37616527501770064
79,-0.37201449801550657,-0.3399057609376227,-0.37616527501770064
80,-0.375470640266205,-0.3399057609376227,-0.37616527501770064
81,-0.372457856155672,-0.3399057609376227,-0.37616527501770064
82,-0.3789908188311361,-0.33905702594233345,-0.3932049946730855
83,-0.374339789963585,-0.33905702594233345,-0.3932049946730855
84,-0.3729868317194159,-0.33905702594233345,-0.3932049946730855
85,-0.386714939326429,-0.3369803172231177,-0.40313571761679073
86,-0.3657346163900384,-0.3369803172231177,-0.40313571761679073
87,-0.3643626348753791,-0.3369803172231177,-0.40313571761679073
88,-0.37291315216524884,-0.3369803172231177,-0.40313571761679073
89,-0.3821522553433322,-0.3369803172231177,-0.40313571761679073
90,-0.37013957235191414,-0.33232050622445697,-0.3924935214654922
91,-0.3651388408368157,-0.328130402324379,-0.3870499311882524
92,-0.36506518123332016,-0.328130402324379,-0.3870499311882524
93,-0.3658730056471643,-0.328130402324379,-0.3870499311882524
94,-0.3643597653405115,-0.328130402324379,-0.3870499311882524
95,-0.36859394624308683,-0.328130402324379,-0.3870499311882524
96,-0.36949583108524203,-0.3271381459752704,-0.38009515779056896
97,-0.36094508126201147,-0.3271381459752704,-0.38009515779056896
98,-0.3569482910154357,-0.3271381459752704,-0.38009515779056896
99,-0.3553160763773501,-0.3271381459752704,-0.38009515779056896
100,-0.3590786348670646,-0.3271381459752704,-0.38009515779056896
101,-0.3566378929523167,-0.3271381459752704,-0.38009515779056896
102,-0.3554153943843382,-0.3262093498202798,-0.38433317775617604
103,-0.35766214285470965,-0.3262093498202798,-0.38433317775617604
104,-0.35622435182186024,-0.3262093498202798,-0.38433317775617604
105,-0.3573404687742883,-0.3262093498202798,-0.38433317775617604
106,-0.3540347102666454,-0.3262093498202798,-0.38433317775617604
107,-0.356660574841295,-0.3262093498202798,-0.38433317775617604
108,-0.3495771801751901,-0.322335882041986,-0.3799331346381867
109,-0.363079963622493,-0.322335882041986,-0.3799331346381867
110,-0.3587482737021578,-0.32216969399858053,-0.3837612765507393
111,-0.3546844986130987,-0.32216969399858053,-0.3837612765507393
